text,label
לך תמות יא כלב,1
כל הכבוד על ההישג המרשים!,0
אני שונא אותך כל כך יא חתיכת אפס,1
אתה צריך להסתכל במראה ולשאול את עצמך למה אתה כזה בן זונה,1
מי נתן לך רישיון יא שרמוטה?!,1
כוסאמק ערס עם כל מי שחושב כמוך,1
אני כל כך אוהבת אותך,0
"האוכל היה פשוט מעולה, תודה רבה!",0
יא חתיכת קוקסינל,1
"אני לא מאמינה שאמרת את זה, איזה דפוק",1
הפגישה נקבעה לשעה שלוש אחר הצהריים,0
"שיט, איזה גול מדהים!",0
שיהיה לך יום נפלא,0
אתה והחברים ההומואים שלך יכולים לקפוץ לי,1
תתפלל שלא אפגוש אותך ברחוב,1
אני אשבור לך את העצמות,1
כל מי שמצביע להם הוא בוגד וצריך להעמיד אותו לדין.,1
הצבא סיפק לחייל נשק מזוין.,0
הוא עובד בחברת הייטק גדולה,0
רק בן אדם חולה נפש יכול לכתוב דבר כזה.,1
איזה יופי של מזג אוויר היום,0
לך תזדייןן,1
הם נסעו לחופשה בצפון,0
יום הולדת שמח!,0
"תודה על העזרה, מעריך את זה מאוד",0
"מטומטם אחד, אין לך מושג על מה אתה מדבר",1
"אין בעיה, אטפל בזה מיד",0
הספר היה מרתק מההתחלה ועד הסוף,0
איך מישהי כמוך בכלל מסתכלת במראה בבוקר?,1
ערב טוב לכולם,0
את פשוט שרמוטה.,1
הלוואי ותקבל סרטן יא זבל,1
אני לומד למבחן חשוב השבוע,0
בהצלחה במבחן מחר!,0
סתום ת פה יא כלומניק שכמוך,1
הדוח הכספי יפורסם מחר בבוקר,0
"יא מניאק, תחזיר לי את הכסף",1
אני ממש גאה בהישגים שלך,0
שתוק כבר יא אפס,1
sababa,0
איזה חמוד!,0
"הכל בסדר, אל תדאג",0
"יא זבל, מה עשית?",1
ל ך ת ז ד י י ן,1
"איזה קטע, לא ידעתי",0
יא שרמ טה,1
הצייר השתמש בצבע זין.,0
אכלתי כוסאמק בבוקר,0
אתה איש מגעיל ודוחה,1
הסרט היה ממש משעמם,0
חכה חכה מה אני אעשה לך,1
החדשות האחרונות מדאיגות מאוד,0
המשחק אתמול היה מדהים,0
השמש זורחת במזרח,0
הוא אידיוט שימושי של המערכת,1
כל השמאלנים הם בוגדים,1
"אני מקווה שתקבל את מה שמגיע לך, יא חתיכת חרא",1
לך תמצא חיים יא עלוב,1
שבת שלום,0
חג שמח ושנה טובה!,0
אתה פשוט בן אדם רע,1
חתיכת אפס מאופס,1
האימון היה מעולה,0
אתה כזה אידיוט,1
עדיף לך להיזהר,1
אני מאחל לך את כל הרע שבעולם,1
"איזה דביל, איך לא ראית את זה בא?",1
בוקר טוב ויום מקסים,0
כולכם עדר של בהמות,1
אתה חתיכת אפס,1
המוזיקה בפסטיבל הייתה מעולה,0
ת ו ד ה ר ב ה ע ל ה כ ל.,0
הם זוג מקסים,0
שימותו כל הערבים,1
אני שונא אותך וכל מה שאתה מייצג,1
צריך לשרוף את כל הדתיים,1
אתה חושב שאתה חכם? אתה בקושי יודע לקשור שרוכים יא חתיכת אפס.,1
מה אתה רוצה יא מניאק,1
"וואו, איזה פצצה של הופעה!",0
אני אוהב ת לקרוא ספרים בזמני הפנוי,0
"אני הולך לסופר, צריכים משהו?",0
אתה בן זונה ואמא שלך זונה,1
סתום ת פה יא חתיכת זבל,1
אתה פשוט בדיחה,1
הם יצאו לטיול רגלי בהרים,0
"יש לו זין בעין, זה ממש מסוכן.",0
כל הכבוד על היוזמה,0
העוגה שהכנת הייתה טעימה מאוד,0
כל ה group אותו חרא,1
מפגרר,1
אתה בור ועם הארץ,1
הכלכלה העולמית נמצאת במצב לא יציב,0
תודה רבה לך!,0
לך מפה יא אפס,1
kus emek,1
איזה נוף יפה,0
מה שלומך היום?,0
"יא חתיכת זבל, אני אהרוג אותך",1
אני יודע איפה אתה גר יא זבל,1
לך קיבינימט,1
זבל של בנאדם,1
יא הומו מסריח,1
"אני לא מאמין שאתה קיים, יא אפס",1
חתיכת כלומניקק,1
מה הבעיה שלך יא דפוק?,1
איזה יום יפה,0
אני אדאג שלא תצאי מהבית יותר,1
אתה חתיכת חרא,1
שתוק כבר,1
בן ז ו נ ה,1
הפקק היה נוראי הבוקר,0
אתה כזה דביל,1
אידיוט שימושי,1
ז ן,1
יש לבצע את הפעולה בהתאם להוראות,0
יא חתיכת בוגד מסריח,1
"אני מאמין בך, אתה יכול לעשות את זה",0
mephager,1
מאחל לך למות בייסורים,1
אם תדבר עוד פעם אחת אני ארצח אותך,1
ב ק ר טו ב ו יו ם נ פ ל א.,0
איזה כיף היה במסיבה אתמול,0
הילדים משחקים בגינה,0
מה אתה רוצה יא בן זונה,1
כל המשפחה שלך שרמוטות,1
שרמוטהה,1
הדעה שלך כל כך מטומטמת שאני לא מאמין שבזבזתי זמן לקרוא אותה.,1
"הלוואי שיפול עליך טיל, אמן.",1
אתה כזה טיפש,1
חראא,1
אני אוהב אותך,0
"היא נהגת שרמוטה, חותכת את כולם.",0
מטומטםם,1
אני שונא שמאלנים,1
כמה עולה הכרטיס?,0
הגיע הזמן לנקות את הבית,0
סרטן בראש שלך יא מניאק,1
אני כל כך מאוכזב ת,0
מזל טוב ליום ההולדת!,0
איזה חמור,1
היא שחקנית מוכשרת מאוד,0
איזה יום ארוך היה לי,0
הייתי רוצה להזמין פיצה בבקשה,0
אתה פשוט אפס.,1
אני מצטער ת אם פגעתי בך,0
איך אפשר להיות כל כך מטומטם?,1
שיזדיינו כולם,1
מניאקק,1
לילה טוב וחלומות פז,0
אני הולך לישון,0
מה השעה?,0
שתשרף לך המכונית יא קמצן מסריח,1
אני מאחל ת לך החלמה מהירה,0
אתה עלוב נפש,1
יא חתיכת חרא,1
הם גרים בדירה שכורה,0
אני אמצא אותך ואזיין אותך,1
יא קוקסינל מסריח,1
אכלתי מאפה כוסאמק מהמאפייה הטורקית.,0
לך תזדיין עם אמא שלך,1
אני מקווה שהיום שלך יהיה נהדר,0
beseder gamur,0
כ סאמא שלך,1
אני שונא ימנים קיצונים,1
מתי הסרט מתחיל?,0
אפס מאופס,1
יא רוסי מסריח,1
אתה חלאת המין האנושי,1
איזה טיפש,1
סתום את הפה שלך כבר,1
איזה insult,1
דביLL,1
אני אוהב ת גלידה שוקולד,0
היא אישה חזקה ועצמאית,0
לך תזדיין,1
מוות לערבים,1
הייתה לי שיחה טובה עם חבר,0
ben zona,1
בתיאבון!,0
הכלב שלי הוא החבר הכי טוב שלי,0
איפה השירותים?,0
אני צריך ה ללכת לבנק,0
הכנסת אישרה את החוק בקריאה שנייה ושלישית,0
יא חתיכת כלומניק,1
אני שונא אנשים כמוך,1
אני אשבור לך את הפנים,1
"בבקשה, שב",0
אני מרגיש ה לא טוב היום,0
היא לבשה שמלה יפה,0
העבודה שלך מדהימה,0
שיהיה סוף שבוע רגוע,0
איזה דברים מגעילים אתה כותב,1
תודה רבה,0
איך מגיעים לתחנה המרכזית?,0
כוסאמאק,1
הרצאה הייתה מאוד מעניינת,0
"ש לו ם, מ ה נ ש מ ע?",0
"זבל של בן אדם, אין לך כבוד",1
יוצאים לחופשה!,0
"סתום כבר, אתה חופר",1
אתה כל כך טיפש,1
ma nishma,0
אמא שלך זונה,1
הילד אכל תפוח,0
כל השרמוטות אותו דבר,1
אתה פשוט בור ועם הארץ שצריך לחזור לכיתה א,1
איזה זבל,1
א נ י לו מ ד ע ב ר ית.,0
היא נראית נהדר היום,0
אני צריך ללכת,0
טמבלל,1
אני רוצה להרוג אותך,1
תודה רבה!,0
אני שונא אותך,1
אתה פשוט בושה,1
הלוואי שתמותי,1
כוסאומו,1
אתה מביך את עצמך,1
"רעיון מעולה, בוא נעשה את זה",0
כ סאמק,1
לך תחפש מי ינענע אותך,1
אפס.,1
האוכל היה טעים מאוד,0
אני שמח ה לפגוש אותך,0
אתה כזה חמוד,0
הוא אדם נחמד מאוד,0
"סלח לי, מה השעה?",0
אני מקווה שידרוס אותך אוטובוס,1
אני מתרגש ת לקראת האירוע,0
אידיוט,1
toda,0
המדדים בבורסה נסגרו בירידות שערים,0
יא חתיכת סמרטוט,1
אני אמצא אותך,1
איזה בן זונה,1
מזג האוויר צפוי להיות חם מהרגיל לעונה,0
מטומטם,1
איזה יום שמח!,0
כלבה,1
אני אזיין את אמא שלך,1
איזה מפגר,1
הוא סתם אפס,1
הטיול לצפון היה מדהים,0
לך לעזאזל,1
shalom,0
אני שונא את המדינה הזאת,1
אני רוצה לבקש ממך טובה,0
אתה אפס מאופס,1
מה קורה אחי?,0
אתה יכול לעזור לי בבקשה?,0
אפס,1
זונה מסריחה,1
אני לא סובל אותך,1
אתה נראה מצוין,0
העיר יפה במיוחד בלילה,0
אני ממש אוהב את השיר הזה,0
אתה טעות גנטית,1
כוסעמק,1
סבבה אחי,0
לך תמות,1
תמות כבר יא חתיכת זבל,1
התערוכה במוזיאון הייתה מרשימה,0
יש לך בעיה? בוא נפתור אותה בחוץ,1
ההצגה הייתה קצת ארוכה מדי,0
,1
yalla,0
בוא נלך לקולנוע הערב,0
אתה זבל אנושי,1
"שיט, שכחתי את המפתחות",0
איזה מניאק,1
אני מאחל לך את הגרוע מכל,1
תמות אמן,1
זיין אותך בתחת,1
יא חתיכת אידיוט,1
הדרך עוד ארוכה,0
אני הולך הביתה,0
מה אתה מסתכל יא בן זונה,1
לך תזדיין עם קקטוס,1
איזה אפס אתה,1
הצלחתי במשימה!,0
היא בחורה אינטליגנטית,0
נשק מזוין נמצא בזירת הפשע,0
יש לך לב טוב,0
אני מקווה שהכל יסתדר,0
שרמוטה,1
מתכון לעוגת שוקולד,0
הוא נתן לה זין של אוטו במתנה,0
השיעור היה מלמד מאוד,0
הפרחים בגינה פורחים יפה,0
אתה חלאה,1
יא מטומטם,1
הלוואי ותמותי לבד וערירית,1
אני צריך עזרה עם שיעורי הבית,0
הולכים לים,0
הנוף מההר היה עוצר נשימה,0
בן אלף,1
מה חדש?,0
יש לך חיוך יפה,0
הקונצרט היה מרגש,0
יא דפוק,1
"החופשה הייתה נהדרת, נהניתי מכל רגע",0
לך תזדיין יא הומו,1
אני מקווה שתיכשל בכל מה שתעשה,1
העבודה על הפרויקט מתקדמת יפה,0
המחירים בסופר עלו שוב,0
